data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
Child's details,,,,,In Croydon all child's details are recorded in demographics tabs,,,,,,,,,,,,,,,,,,
,Item 3,Preferred name,,,Preferred Name,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 12,Address Type,,,Address Type,,Care Panel,,,,,,,,,,,,,,,,
,Item 65,Child's goals,,,My Goals:,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 66,Future plans (1-5 years),,,Where would I like to be and what I would like to be doing in 1-5 years' time?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 67,Who can help child reach their goals,,,Who will help me?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 68,Pathway plan ID form date completed,,,Date,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 70,Workers view of identity,,,My Workers View - Views,,Pathway Plan (PLAN),,,,,,,,Workers View,,,,,,,,
,Item 71,Other's view of identity,,,Other people's view - Views,,Pathway Plan (PLAN),,,,,,,,Views of other important people,,,,,,,,
,Item 72,Child's self description,,,How do you describe yourself?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 80,Child aspirations/things to change,,,What are our aspirations? / What needs to change?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 81,Measure of goals met or changes made,,,How will we know when it has been achieved?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 95,Trafficking risks for child?,,,"Are there any concerns about the young person being trafficked?

Is this young person considered at risk of child sexual exploitation / trafficking* / other personal safety concerns?",Placement Request: 1.Yes/0.No,"Placement Request
Pathway Plan (PLAN)",,,,,,,,,,,,,,,,
,Item 96,Details about trafficking or exploitation risks?,,,"Give more details of the exploitation risks including concerns about trafficking if relevant

If so, please describe",,Placement Request,,,,,,,,,,,,,,,,
,Item 98,Details on child's gang links,,,Give more details,,Placement Request,,,,,,,,,,,,,,,,
,Item 100,Details on child going missing?,,,Give more details,,Placement Request,,,,,,,,,,,,,,,,
,Item 101,Are there more risks or vulnerabilities for the child?,,,"Are there any other vulnerabilities, concerns or risks associated with this child/young person?",Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 102,Details for other risks and vulnerabilities?,,,Give more details,,Placement Request,,,,,,,,,,,,,,,,
,Item 104,What support does the child need to communicate wishes and feelings?,,,What additional support or resource would be required to facilitate this?,,Placement Request,,,,,,,,,,,,,,,,
,Item 108,Details of release from remand status,,,Conditions of release,,Placement Request,,,,,,,,,,,,,,,,
,Item 109,Forthcoming remand appointments,,,Are there any forthcoming appointments?,,Placement Request,,,,,,,,,,,,,,,,
,Item 110,Restrictions as a result of remand,,,Are there any restrictions?,,Placement Request,,,,,,,,,,,,,,,,
,Item 123,Child has solicitor?,,,Has the child / young person got a solicitor,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 124,Who is the child's solicitor?,,,"if so, whom?",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 125,Date for judicial review?,,,Is there a date for a Judicial Review?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 129,Financial pathway plan for before child's 18th birthday?,,,Is this the final Pathway Plan before this Young Person’s 18th Birthday?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 137,Personal Advisor allocated and met with the YP?,Allocated personal advisor,,Has the PA been allocated and met with the YP,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
Relevant Professionals (inc. SW and IRO),,,,,"In Croydon, all details of involved parties are recorded on cases in case files",,,,,,,,,,,,,,,,,,
,Item 194,KITel,,,Telephone,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 200,Full Driving License,,,Full Driving Licence,Pathway Plan (PLAN): Full Driving Licence,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 201,Home Office Documents,,,Home Office documents,Pathway Plan (PLAN): Home Office documents,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 204,Passport number,,,Passport Number,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 205,National insurance number,,,National Insurance Number,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 208,Child has birth certificate?,,,Do you have a Birth Certificate?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 209,How will child obtain a birth certificate,,,What is the plan to get one?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 224,Which forms have been given to the placement provider/carer?,,,Documents provided to the provider/carer.,"Placement Agreement Form: Documents provided to the provider/carer.
Placement Agreement Form: Risk Assessment
Placement Agreement Form: Delegated Authority
Placement Agreement Form: Care Plan
Placement Agreement Form: Court Orders
Placement Agreement Form: Previous LAC Review
Placement Agreement Form: Pathway Plan
Placement Agreement Form: Complaints Procedure
Placement Agreement Form: Health Risk Assessment
Placement Agreement Form: PCHR (Personal Child Health Record)
Placement Agreement Form: PEP
Placement Agreement Form: EHCP
Placement Agreement Form: Transition Plan (Child's Needs Assessment)
Placement Agreement Form: S20 Agreement (Signed)
Placement Agreement Form: Other",Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 225,Specify other forms provided to the provider/carer,,,"If other, please specify",,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 228,Difficulties/trouble in area lived in?,,,Do you experience any difficulty or get into trouble in the area you live in?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
