data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
,Item 20,Status under leaving care act,,,,,,,,,,,,,,,Status under the Leaving Care Act,,Pathway Needs Assessment,,,,
,Item 112,"What support will the young person receive on leaving custody, including their looked after status?",,,,,,,,,,,,,,,"What support will the young person receive on leaving custody, including their looked after status?",N/A (Free text entry),Placement Plan,,,,
,Item 151,SW/Professional -  Contribution to the plan,,,,,,,,,,,,,,,People involved in the assessment Contribution,,"Pathway Needs Assessment
Request for placement and matching",,,,
,Item 189,Details of involved professionals Person Working With,,,,,,,,,,,,,,,Details of involved professionals Person Working With,N/A (Free text entry),Request for placement and matching,,,,
,Item 249,Has the child/young person's savings been transferred to the new placement?,,,,,,,,,,,,,,,Has the child/young person's savings been transferred to the new placement?,"Yes, No, N/A",Placement Plan,,,,
,Item 265,"If the child has recourse to public funds, will a human rights assessment be carried out?",,,,,,,,,,,,,,,"If yes, will a human rights assessment also be carried out?",,Pathway Needs Assessment,,,,
,Item 306,Was the child's bedroom seen?,,,,,,,,,,,,,,,"Was the child's bedroom seen?
Has the child's bedroom been seen since the last review?",,"Pathway Needs Assessment
CLA Visit
CLA Updated assessment",,,,
,Item 337,Child's current key stage,,,,,,,,,,,,,,,Current Key Stage,"Key stage 1, Key stage 2, Key stage 3, Key stage 4",Chair's monitoring form,,,,
,Item 380,Birth location,,,,,,,,,,,,,,,Hospital or other location where born,N/A (Free text entry),CLA Placement and Health Consent Form,,,,
,Item 387,GP of parent Name,,,,,,,,,,,,,,,GP of parent Name,,CLA Placement and Health Consent Form,,,,
,Item 388,GP of parent Address,,,,,,,,,,,,,,,GP of parent Address,,CLA Placement and Health Consent Form,,,,
,Item 389,GP of parent Telephone,,,,,,,,,,,,,,,GP of parent Telephone,,CLA Placement and Health Consent Form,,,,
,Item 396,Dental appointment within 6 months?,,,,,,,,,,,,,,,Has the child had a dental appointment in the last 6 months?,"Yes, No",Chair's report - updated care plan,,,,
,Item 420,Substance use intervention?,,Substance missuse intervention offered,,,,,,,,,,,,,"Substance misuse If Yes, has the child received an intervention for substance misuse problem?","Yes, No",Chair's monitoring form,,,,
,Item 421,Child refused substance misuse intervention,,Substance missuse intervention refused,,,,,,,,,,,,,"Substance misuse If the child has NOT received an intervention, was the child offered an intervention but refused it?","Yes, No",Chair's monitoring form,,,,
,Item 423,Are Youth Offending Services involved with the child?,,,,,,,,,,,,,,,Are the Youth Offending Services involved with this case ?,"Yes, No",Chair's monitoring form,,,,
