,item number,data item,croydon main reason for recording data item,essex main reason for recording local data item,sutton main reason for recording local data item,camden main reason for recording local data item
30,Item 30,Is the child subject to a child protection plan?,1. For social work practitioners and/or the child/YP,3. For LA reporting purposes and generating performance indicators,,1. For social work practitioners and/or the child/YP
96,Item 94,Exploitation risks for child?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
105,Item 103,Can the child verbally communicate wishes and feelings?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
118,Item 117,Is the child/YP a parent,,,,
172,Item 170,Advocate - Name,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
175,Item 173,Team manager - Name,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
177,Item 175,Team Manager - Telephone,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
192,Item 190,Name of care panel chair,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
269,Item 264,Does child have recourse to public funds?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
272,Item 267,Child's income,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
273,Item 268,Child's expenditure,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
274,Item 269,Income less expenditure,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
280,Item 275,Actions to achieve financial aspirations,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
281,Item 276,Who will perform actions to reach financial aspirations,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
282,Item 277,When will actions be taken to achieve financial aspirations,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
314,Item 308,Other options for living place?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
316,Item 310,Child/other worried about living place choices?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
317,Item 311,Specify worries about living place,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
318,Item 312,How can child make changes to living place?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
320,Item 314,Living place aspirations/changes to be made,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
321,Item 315,Measure of living place aspirations/changes being made,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
322,Item 316,How can child achieve aspirations/changes to living place?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
323,Item 317,Who will perform living place change actions?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
324,Item 318,When will the actions to change living place be made?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
598,Item 587,Independence skills aspirations/changes?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
605,Item 594,Actions to meet independence skill goals?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
606,Item 595,Who will perform actions to meet independence skill goals?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
607,Item 596,When will actions be made to meet independence skill goals?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
705,Item 693,Review of care plan date?,1. For social work practitioners and/or the child/YP,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP
766,Item 753,When is the placement required by?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
849,Item 836,Has the child been looked after before?,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
1082,Item 1065,Was the child under 4 at the time of CLA review?,,1. For social work practitioners and/or the child/YP,,
1083,Item 1066,"At the CLA meeting, if present (virtually or physically) did the child speak for themselves?",,,,
1084,Item 1067,"At the CLA meeting, if present (virtually or physically) did the child not communicate their views in any way or ask for an advocate?",,,,
