data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
,Item 15,Legal status start date,Legal status start date,Legal status start date,Current legal status,"started on
legal status
Expiry date
Actual end date
court",CLA Care Plan,,,,,,Legal STatus,CLA Start Date,Placement Record,,Any information regarding legast status/immigration status,,Placement Plan,,,,
,Item 33,Date child became looked after,,Start date of period of care,Date Decision to Accommodate agreed,,CLA Request for Child to be Looked After,,,,,,Start Date,,Turning 18 End CLA status,,Date child became looked after,,"CLA Updated assessment 
CLA Chair's report - updated care plan",,,,
,Item 147,SW/Professional - Name, Allocated Worker,,"Professional
SW Name",,"Pathway Plan (PLAN)
Care Panel
CLA Request for Child to be Looked After",,,,,,"Details of SW
Name of Allocated Social Worker",,"My Pathway Plan
CLA/LCT Case Supervision Record
Placement Record
Transfer In Child Looked After ",,People involved in the assessment Name,,"Pathway Needs Assessment
Request for placement and matching",,,,
,Item 153,Supervising Social Worker - Name,,,Supervising Social Worker - Name,,"Pathway Plan (PLAN)
Placement Agreement Form
CLA Care Plan",,,,,,"Supervisor and Team
Supervising Social Worker Name",,"CLA/LCT Case Supervision Record
Placement Plan & Delegated Authority
Placement Record",,Details of involved professionals Name,N/A (Free text entry),"Placement Plan
Request for placement and matching",,,,
,Item 154,Supervising Social Worker - Team/Agency,,,Supervising Social Worker - Team/Agency,,CLA Care Plan,,,,,,Team Name,,Placement Plan & Delegated Authority,,Details of involved professionals Agency,N/A (Free text entry),"Placement Plan
Request for placement and matching",,,,
,Item 155,Supervising Social Worker - Telephone,,,Supervising Social Worker - Telephone,,CLA Care Plan,,,,,,Telephone Number,,Placement Plan & Delegated Authority ,,Details of involved professionals Contact details,N/A (Free text entry),"Placement Plan
Request for placement and matching",,,,
,Item 168,Independent Visitor/officer - Team/Agency,,,Independent Visitor - Team/Agency,,CLA Care Plan,,,,,,Team Name,,Placement Plan & Delegated Authority,,Details of involved professionals Agency,N/A (Free text entry),"Placement Plan
Request for placement and matching",,,,
,Item 393,Last dentist visit?,Date of last dental check,Date of last dental check,When did you last see one?,,Pathway Plan (PLAN),,,,,,"Dental checks
Date of most recent Dentist Appointment
Dental Check",,"My Pathway Plan
SW Assessment Report and Care Plan for LAC Report
All About Me Review and Care Plan",,Date of last dental appointment,,Chair's report - updated care plan,,,,
,Item 412,Details of placement/care relevant medical history,,,Detail,,Placement Agreement Form,,,,,,"Summary of health plan, or, if not available, who is arranging the assessment/plan and by when? If there is no plan, please give details of what medical history is known",,Placement Plan & Delegated Authority,,"Summary of health plan or, if not available, who is arranging the assessment/plan and by when? If there is no plan, please give details of what medical history is known",N/A (Free text entry),Placement Plan,,,,
,Item 427,Child's routine/scheduled medical appointments,,,What routine or outstanding medical appointments does this child/young person have scheduled and when?,,"Placement Request
Placement Agreement Form",,,,,,"Details of outstanding medical or dental appointments
",,Placement Plan & Delegated Authority,,Details of outstanding medical or dental appointments,N/A (Free text entry),Placement Plan,,,,
