data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
,Item 30,Is the child subject to a child protection plan?,,,Is the child the subject of a child protection plan?,Placement Request: 1.Yes/0.No,Placement Request,,Is this child subject of a CP Plan?,"Yes
No",Placement Referral Form ,,,,,,Child / young person subject to a protection plan ,,Record of accommodation decision,,,,
,Item 94,Exploitation risks for child?,,,Are there any exploitation risks or issues?,Placement Request: 1.Yes/0.No,"Placement Request
Pathway Plan (PLAN)",,Exploitation,yes/no,Placement Referral Form ,,,,,,Type of exploitation,"CSE, CCE, Both, N/A","CLA Updated assessment 
Chair's report - updated care plan",,,,
,Item 103,Can the child verbally communicate wishes and feelings?,,,Is the child/young Person able to verbally communicate their wishes and feelings?,Placement Request: 1.Yes/0.No,Placement Request,,Communication needs (including language),,Placement Plan,,,,,,Communication needs (including language),N/A (Free text entry),Placement Plan,,,,
,Item 117,Is the child/YP a parent,,Is the child a mother,Is the young person a parent?,Placement Request: 1.Yes/0.No,,,"Parenthood

Are you a parent or becoming a parent?",yes/no,"Placement Plan
My Pathway Plan and Needs Assessment",,,,,,Is the young person a parent?,"Yes, No",Placement Plan,,,,
,Item 170,Advocate - Name,,,Advocate - Name,,Pathway Plan (PLAN),,"Name
Do they have an advocate","Record on system?
Comments/Actions",My Pathway Plan and Needs Assessment,,,,,,"Details of involved professionals Name
If 'Yes', who is the advocate?",N/A (Free text entry),"Placement Plan
Request for placement and matching
Chair's report - updated care plan",,,,
,Item 173,Team manager - Name,,,Team Manager,,"Care Panel
CLA Care Plan",,"The manager to speak to if I am unhappy - Manager's name

Name",,"My Pathway Plan and Needs Assessment
Life plan",,,,,,Details of involved professionals Name,N/A (Free text entry),"Placement Plan
Request for placement and matching",,,,
,Item 175,Team Manager - Telephone,,,Team Manager - Telephone,,CLA Care Plan,,Telephone,,Life plan,,,,,,Details of involved professionals Contact details,N/A (Free text entry),"Placement Plan
Request for placement and matching",,,,
,Item 190,Name of care panel chair,,,Chair,,Care Panel,,Chair,,Children and Families Panel Request Form,,,,,,"Chair of LAC review
Name of Chair (verification)",N/A (Free text entry),"Chair's monitoring form
CLA Review record of meeting",,,,
,Item 264,Does child have recourse to public funds?,,,Do you have recourse to public funds?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,No Recourse to Public Funds,,Placement Referral Form ,,,,,,Does the young person have recourse to public funds?,,Pathway Needs Assessment,,,,
,Item 275,Actions to achieve financial aspirations,,,Actions to achieve this,,Pathway Plan (PLAN),,What needs to be done?,,My Pathway Plan and Needs Assessment,,,,,,Please describe the young person's financial capability and provide details of how they will be maintained,,Pathway Needs Assessment,,,,
